Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper
Royal Challengers Bangalore,Kolkata Knight Riders,Rahul Dravid,Sourav Ganguly,Mark Boucher,Wriddhiman Saha
Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Dhoni,Kumar Sangakkara,MS Dhoni
Delhi Capitals,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat
Kolkata Knight Riders,Deccan Chargers,Sourav Ganguly,VVS Laxman,Wriddhiman Saha,Adam Gilchrist
Mumbai Indians,Royal Challengers Bangalore,Harbhajan Singh,Rahul Dravid,Luke Ronchi,Mark Boucher
Rajasthan Royals,Kings XI Punjab,Shane Warne,Yuvraj Singh,Kamran Akmal,Kumar Sangakkara
Deccan Chargers,Delhi Capitals,VVS Laxman,Virender Sehwag,Adam Gilchrist,Dinesh Karthik
Chennai Super Kings,Mumbai Indians,MS Dhoni,Harbhajan Singh,MS Dhoni,Luke Ronchi
Deccan Chargers,Rajasthan Royals,VVS Laxman,Shane Warne,Adam Gilchrist,Kamran Akmal
Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,Kumar Sangakkara,Luke Ronchi
Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Sourav Ganguly,MS Dhoni,Brendon McCullum
Royal Challengers Bangalore,Rajasthan Royals,Rahul Dravid,Shane Warne,Mark Boucher,Mahesh Rawat
Kings XI Punjab,Delhi Capitals,Yuvraj Singh,Virender Sehwag,Kumar Sangakkara,Dinesh Karthik
Mumbai Indians,Deccan Chargers,Shaun Pollock,VVS Laxman,Luke Ronchi,Adam Gilchrist
Royal Challengers Bangalore,Chennai Super Kings,Rahul Dravid,MS Dhoni,Mark Boucher,MS Dhoni
Kolkata Knight Riders,Mumbai Indians,Sourav Ganguly,Shaun Pollock,Brendon McCullum,Pinal Shah
Delhi Capitals,Royal Challengers Bangalore,Virender Sehwag,Rahul Dravid,Dinesh Karthik,Mark Boucher
Rajasthan Royals,Kolkata Knight Riders,Shane Warne,Sourav Ganguly,Mahesh Rawat,Wriddhiman Saha
Deccan Chargers,Kings XI Punjab,VVS Laxman,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara
Chennai Super Kings,Delhi Capitals,MS Dhoni,Virender Sehwag,MS Dhoni,Dinesh Karthik
Royal Challengers Bangalore,Deccan Chargers,Rahul Dravid,VVS Laxman,Mark Boucher,Adam Gilchrist
Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha
Mumbai Indians,Delhi Capitals,Shaun Pollock,Virender Sehwag,Yogesh Takawale,Dinesh Karthik
Rajasthan Royals,Chennai Super Kings,Shane Warne,MS Dhoni,Mahesh Rawat,MS Dhoni
Royal Challengers Bangalore,Kings XI Punjab,Rahul Dravid,Yuvraj Singh,Devraj Patil,Uday Kaul
Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist
Mumbai Indians,Rajasthan Royals,Shaun Pollock,Shane Warne,Yogesh Takawale,Mahesh Rawat
Delhi Capitals,Chennai Super Kings,Virender Sehwag,MS Dhoni,Dinesh Karthik,MS Dhoni
Kolkata Knight Riders,Royal Challengers Bangalore,Sourav Ganguly,Rahul Dravid,Wriddhiman Saha,Mark Boucher
Rajasthan Royals,Deccan Chargers,Shane Warne,Adam Gilchrist,Mahesh Rawat,Adam Gilchrist
Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Uday Kaul
Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha
Rajasthan Royals,Delhi Capitals,Shane Warne,Virender Sehwag,Mahesh Rawat,Dinesh Karthik
Kings XI Punjab,Royal Challengers Bangalore,Yuvraj Singh,Rahul Dravid,Uday Kaul,Mark Boucher
Kolkata Knight Riders,Delhi Capitals,Sourav Ganguly,Virender Sehwag,Wriddhiman Saha,AB de Villiers
Mumbai Indians,Chennai Super Kings,Sachin Tendulkar,MS Dhoni,Yogesh Takawale,MS Dhoni
Delhi Capitals,Deccan Chargers,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist
Mumbai Indians,Kolkata Knight Riders,Sachin Tendulkar,Sourav Ganguly,Yogesh Takawale,Wriddhiman Saha
Rajasthan Royals,Royal Challengers Bangalore,Shane Warne,Rahul Dravid,Mahesh Rawat,Devraj Patil
Delhi Capitals,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Uday Kaul
Kolkata Knight Riders,Chennai Super Kings,Sourav Ganguly,MS Dhoni,Wriddhiman Saha,MS Dhoni
Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Yogesh Takawale
Royal Challengers Bangalore,Delhi Capitals,Rahul Dravid,Virender Sehwag,Shreevats Goswami,Dinesh Karthik
Kolkata Knight Riders,Rajasthan Royals,Sourav Ganguly,Shane Warne,Wriddhiman Saha,Mahesh Rawat
Mumbai Indians,Kings XI Punjab,Sachin Tendulkar,Yuvraj Singh,Pinal Shah,Uday Kaul
Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,Rahul Dravid,Parthiv Patel,Mark Boucher
Delhi Capitals,Kolkata Knight Riders,Virender Sehwag,Sourav Ganguly,Dinesh Karthik,Wriddhiman Saha
Kings XI Punjab,Deccan Chargers,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist
Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,Parthiv Patel,Kamran Akmal
Delhi Capitals,Mumbai Indians,Virender Sehwag,Sachin Tendulkar,Dinesh Karthik,Pinal Shah
Deccan Chargers,Royal Challengers Bangalore,Adam Gilchrist,Rahul Dravid,Adam Gilchrist,Shreevats Goswami
Kolkata Knight Riders,Kings XI Punjab,Sourav Ganguly,Yuvraj Singh,Wriddhiman Saha,Kumar Sangakkara
Rajasthan Royals,Mumbai Indians,Shane Warne,Sachin Tendulkar,Kamran Akmal,Yogesh Takawale
Deccan Chargers,Chennai Super Kings,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Parthiv Patel
Royal Challengers Bangalore,Mumbai Indians,Rahul Dravid,Sachin Tendulkar,Shreevats Goswami,Yogesh Takawale
Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Watson,Kumar Sangakkara,Kamran Akmal
Delhi Capitals,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat
Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,Parthiv Patel,Kumar Sangakkara
Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,Parthiv Patel,Kamran Akmal
