Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper
Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,Parthiv Patel,Pinal Shah
Royal Challengers Bangalore,Rajasthan Royals,Kevin Pietersen,Shane Warne,Robin Uthappa,Mahesh Rawat
Delhi Capitals,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Kumar Sangakkara
Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Brendon McCullum,Adam Gilchrist,Brendon McCullum
Royal Challengers Bangalore,Chennai Super Kings,Kevin Pietersen,MS Dhoni,Robin Uthappa,MS Dhoni
Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Brendon McCullum,Kumar Sangakkara,Brendon McCullum
Mumbai Indians,Rajasthan Royals,Sachin Tendulkar,Shane Warne,Luke Ronchi,Mahesh Rawat
Royal Challengers Bangalore,Deccan Chargers,Kevin Pietersen,Adam Gilchrist,Robin Uthappa,Adam Gilchrist
Chennai Super Kings,Delhi Capitals,MS Dhoni,Virender Sehwag,MS Dhoni,Dinesh Karthik
Kolkata Knight Riders,Rajasthan Royals,Brendon McCullum,Shane Warne,Brendon McCullum,Mahesh Rawat
Royal Challengers Bangalore,Kings XI Punjab,Kevin Pietersen,Yuvraj Singh,Robin Uthappa,Kumar Sangakkara
Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Pinal Shah
Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Brendon McCullum,Parthiv Patel,Brendon McCullum
Royal Challengers Bangalore,Delhi Capitals,Kevin Pietersen,Virender Sehwag,Mark Boucher,Dinesh Karthik
Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Warne,Kumar Sangakkara,Mahesh Rawat
Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist
Kolkata Knight Riders,Mumbai Indians,Brendon McCullum,Sachin Tendulkar,Brendon McCullum,Pinal Shah
Delhi Capitals,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat
Royal Challengers Bangalore,Kolkata Knight Riders,Kevin Pietersen,Brendon McCullum,Mark Boucher,Morne van Wyk
Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Sachin Tendulkar,Kumar Sangakkara,Pinal Shah
Deccan Chargers,Delhi Capitals,Adam Gilchrist,Virender Sehwag,Adam Gilchrist,Dinesh Karthik
Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Mahesh Rawat
Kolkata Knight Riders,Mumbai Indians,Brendon McCullum,Sachin Tendulkar,Morne van Wyk,Pinal Shah
Royal Challengers Bangalore,Kings XI Punjab,Anil Kumble,Yuvraj Singh,Mark Boucher,Kumar Sangakkara
Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha
Chennai Super Kings,Delhi Capitals,MS Dhoni,Gautam Gambhir,MS Dhoni,Dinesh Karthik
Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Brendon McCullum,Kumar Sangakkara,Morne van Wyk
Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Mark Boucher,Pinal Shah
Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist
Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Warne,Kumar Sangakkara,Naman Ojha
Delhi Capitals,Kolkata Knight Riders,Gautam Gambhir,Brendon McCullum,Dinesh Karthik,Morne van Wyk
Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Pinal Shah
Royal Challengers Bangalore,Rajasthan Royals,Anil Kumble,Shane Warne,Mark Boucher,Naman Ojha
Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Kumar Sangakkara
Delhi Capitals,Mumbai Indians,Gautam Gambhir,Sachin Tendulkar,Dinesh Karthik,Pinal Shah
Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara
Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Naman Ojha
Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Mark Boucher,Yogesh Takawale
Delhi Capitals,Kolkata Knight Riders,Gautam Gambhir,Brendon McCullum,Dinesh Karthik,Morne van Wyk
Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha
Royal Challengers Bangalore,Kolkata Knight Riders,Anil Kumble,Brendon McCullum,Mark Boucher,Wriddhiman Saha
Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Sachin Tendulkar,Kumar Sangakkara,Yogesh Takawale
Deccan Chargers,Delhi Capitals,Adam Gilchrist,Virender Sehwag,Adam Gilchrist,Dinesh Karthik
Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,MS Dhoni,Mark Boucher,MS Dhoni
Mumbai Indians,Rajasthan Royals,Sachin Tendulkar,Shane Warne,Yogesh Takawale,Naman Ojha
Delhi Capitals,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Kumar Sangakkara
Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,MS Dhoni,Yogesh Takawale
Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Brendon McCullum,Adam Gilchrist,Wriddhiman Saha
Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara
Delhi Capitals,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Naman Ojha
Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Brendon McCullum,MS Dhoni,Wriddhiman Saha
Royal Challengers Bangalore,Delhi Capitals,Anil Kumble,Virender Sehwag,Mark Boucher,Dinesh Karthik
Kolkata Knight Riders,Rajasthan Royals,Brendon McCullum,Shane Warne,Shoaib Shaikh,Naman Ojha
Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Kumar Sangakkara
Delhi Capitals,Mumbai Indians,Virender Sehwag,Sachin Tendulkar,Dinesh Karthik,Pinal Shah
Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Mark Boucher,Adam Gilchrist
Delhi Capitals,Deccan Chargers,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist
Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,MS Dhoni,Mark Boucher,MS Dhoni
Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Mark Boucher,Adam Gilchrist
