City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,35,,Yuvraj Singh,AY Dandekar,NJ Llong
Pune,Maharashtra Cricket Association Stadium,2017-04-06,Rising Pune Supergiant,Mumbai Indians,,,Rising Pune Supergiant,field,Mumbai Indians,Rising Pune Supergiant,0,1,,7,SPD Smith,A Nand Kishore,S Ravi
Rajkot,Saurashtra Cricket Association Stadium,2017-04-07,Gujarat Lions,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Gujarat Lions,Kolkata Knight Riders,0,1,,10,CA Lynn,Nitin Menon,CK Nandan
Indore,Holkar Cricket Stadium,2017-04-08,Kings XI Punjab,Rising Pune Supergiant,,,Kings XI Punjab,field,Rising Pune Supergiant,Kings XI Punjab,0,1,,6,GJ Maxwell,AK Chaudhary,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,15,,KM Jadhav,S Ravi,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-09,Sunrisers Hyderabad,Gujarat Lions,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,9,Rashid Khan,A Deshmukh,NJ Llong
Mumbai,Wankhede Stadium,2017-04-09,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,4,N Rana,Nitin Menon,CK Nandan
Indore,Holkar Cricket Stadium,2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,8,AR Patel,AK Chaudhary,C Shamshuddin
Pune,Maharashtra Cricket Association Stadium,2017-04-11,Rising Pune Supergiant,Delhi Daredevils,,,Rising Pune Supergiant,field,Delhi Daredevils,Delhi Daredevils,1,0,97,,SV Samson,AY Dandekar,S Ravi
Mumbai,Wankhede Stadium,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,0,1,,4,JJ Bumrah,Nitin Menon,CK Nandan
Kolkata,Eden Gardens,2017-04-13,Kolkata Knight Riders,Kings XI Punjab,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,8,SP Narine,A Deshmukh,NJ Llong
Bangalore,M Chinnaswamy Stadium,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,4,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary
Rajkot,Saurashtra Cricket Association Stadium,2017-04-14,Gujarat Lions,Rising Pune Supergiant,,,Gujarat Lions,field,Rising Pune Supergiant,Gujarat Lions,0,1,,7,AJ Tye,A Nand Kishore,S Ravi
Kolkata,Eden Gardens,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,17,,RV Uthappa,AY Dandekar,NJ Llong
Delhi,Feroz Shah Kotla,2017-04-15,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,51,,CJ Anderson,YC Barde,Nitin Menon
Mumbai,Wankhede Stadium,2017-04-16,Mumbai Indians,Gujarat Lions,,,Mumbai Indians,field,Gujarat Lions,Mumbai Indians,0,1,,6,N Rana,A Nand Kishore,S Ravi
Bangalore,M Chinnaswamy Stadium,2017-04-16,Royal Challengers Bangalore,Rising Pune Supergiant,,,Royal Challengers Bangalore,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,27,,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin
Delhi,Feroz Shah Kotla,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,,,Delhi Daredevils,bat,Delhi Daredevils,Kolkata Knight Riders,0,1,,4,NM Coulter-Nile,Nitin Menon,CK Nandan
