City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Bangalore,M Chinnaswamy Stadium,India,18-04-2008,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,Rahul Dravid,Sourav Ganguly,Mark Boucher,Wriddhiman Saha,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,140,,BB McCullum,Asad Rauf,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,19-04-2008,Group Stage,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Dhoni,Kumar Sangakkara,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,33,,MEK Hussey,MR Benson,SL Shastri
Delhi,Feroz Shah Kotla,India,19-04-2008,Group Stage,Delhi Daredevils,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat,Rajasthan Royals,bat,Rajasthan Royals,Delhi Daredevils,0,1,,9,MF Maharoof,Aleem Dar,GA Pratapkumar
Mumbai,Wankhede Stadium,India,20-04-2008,Group Stage,Mumbai Indians,Royal Challengers Bangalore,Harbhajan Singh,Rahul Dravid,Luke Ronchi,Mark Boucher,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,5,MV Boucher,SJ Davis,DJ Harper
Kolkata,Eden Gardens,India,20-04-2008,Group Stage,Kolkata Knight Riders,Deccan Chargers,Sourav Ganguly,VVS Laxman,Wriddhiman Saha,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Kolkata Knight Riders,0,1,,5,DJ Hussey,BF Bowden,K Hariharan
Jaipur,Sawai Mansingh Stadium,India,21-04-2008,Group Stage,Rajasthan Royals,Kings XI Punjab,Shane Warne,Yuvraj Singh,Kamran Akmal,Kumar Sangakkara,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,0,1,,6,SR Watson,Aleem Dar,RB Tiffin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,22-04-2008,Group Stage,Deccan Chargers,Delhi Daredevils,VVS Laxman,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,0,1,,9,V Sehwag,IL Howell,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",India,23-04-2008,Group Stage,Chennai Super Kings,Mumbai Indians,MS Dhoni,Harbhajan Singh,MS Dhoni,Luke Ronchi,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,1,0,6,,ML Hayden,DJ Harper,GA Pratapkumar
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,24-04-2008,Group Stage,Deccan Chargers,Rajasthan Royals,VVS Laxman,Shane Warne,Adam Gilchrist,Kamran Akmal,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,3,YK Pathan,Asad Rauf,MR Benson
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,25-04-2008,Group Stage,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,Kumar Sangakkara,Luke Ronchi,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,66,,KC Sangakkara,Aleem Dar,AM Saheba
Bangalore,M Chinnaswamy Stadium,India,26-04-2008,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,Rahul Dravid,Shane Warne,Mark Boucher,Mahesh Rawat,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,SR Watson,MR Benson,IL Howell
Chennai,"MA Chidambaram Stadium, Chepauk",India,26-04-2008,Group Stage,Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Sourav Ganguly,MS Dhoni,Brendon McCullum,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,9,JDP Oram,BF Bowden,AV Jayaprakash
Mumbai,Dr DY Patil Sports Academy,India,27-04-2008,Group Stage,Mumbai Indians,Deccan Chargers,Shaun Pollock,VVS Laxman,Luke Ronchi,Adam Gilchrist,Deccan Chargers,field,Mumbai Indians,Deccan Chargers,0,1,,10,AC Gilchrist,Asad Rauf,SL Shastri
